Liste des FNB Canada Application Wealthsimple;;;
;;;
;SYMBÔLE;Nom;
;iShares S&P/TSX 60 Index ETF (NEOE:XIU); 39,13  $ ;
;iShares S&P/TSX CapEgy Idx ETF (NEOE:XEG); 17,48  $ ;
;BMO Equal Weight Banks Idx ETF (NEOE:ZEB); 42,19  $ ;
;Vanguard S&P 500 Index ETF (NEOE:VFV); 154,31  $ ;
;iShares S&P/TSX Gl Gld Idx ETF (NEOE:XGD); 25,71  $ ;
;iShares Core Equity ETF Ptfl (NEOE:XEQT); 35,13  $ ;
;iShares S&P/TSX CapREITIdx ETF (XTSE:XRE); 14,97  $ ;
;China SCE Group (XFRA:XSP); 0,02  $ ;
;BMO Covered Call Utilities ETF (NEOE:ZWU); 10,69  $ ;
;All Equity ETF Port (NEOE:VEQT); 47,06  $ ;
;KN Energies AB (XFRA:XIC); 0,25  $ ;
;iSharesNASDAQ100 Idx ETF (C-H) (NEOE:XQQ); 55,37  $ ;
;iShares S&P/TSX CapFin Idx ETF (NEOE:XFN); 61,01  $ ;
;iSh Core MSCI EAFE IMI Idx ETF (NEOE:XEF); 40,50  $ ;
;iShares Core S&P 500 Index ETF (NEOE:XUS); 53,87  $ ;
;Hrvst Healthcare Ld Inc ETF-A (NEOE:HHL); 7,93  $ ;
;ONESPAN INC. (XFRA:VDY); 19,10  $ ;
;BMO Equal Weight Utilities ETF (NEOE:ZUT); 21,12  $ ;
;IShares S&P/TSX Cm HiDivIx ETF (NEOE:XEI); 27,21  $ ;
;BMO Cov Call Can Bnks Srs ETF (NEOE:ZWB); 19,76  $ ;
;iShares S&P/TSX CapUt Idx ETF (NEOE:XUT); 27,92  $ ;
;CI En Gnts CovCall ETF Hgd (NEOE:NXF); 5,61  $ ;
;Fielmann Group AG (XFRA:FIE); 43,00  $ ;
;iShares US SmCap Idx ETF (C-H) (NEOE:XSU); 43,69  $ ;
;Encompass (OTCM:ENCC); 0,00  $ ;
;BMO Lad Pref Share Idx ETF (NEOE:ZPR); 11,17  $ ;
;TOSHIBA TEC CORPORATION (XFRA:TEC); 9,05  $ ;
;iShares Core Cdn Corp Bd ETF (NEOE:XCB); 20,22  $ ;
;iShares Core Growth ETF Ptfl (NEOE:XGRO); 31,44  $ ;
;PIMCO Monthly Income ETF Srs (NEOE:PMIF); 18,00  $ ;
;iShs MSCI CA Qual Div Indx ETF (NEOE:XDIV); 30,45  $ ;
;BMO EW US Bks Hgd-CAD Idx ETF (NEOE:ZUB); 34,68  $ ;
;Vanguard FTSE Cn AC Idx ETF (NEOE:VCN); 52,71  $ ;
;LA BANQUE TORONTO-DOMINION (XFRA:TDB); 57,25  $ ;
;Vunani (XJSE:VUN); 180,00  $ ;
;BMO Can Hi Div Cov Call Sr ETF (NEOE:ZWC); 18,07  $ ;
;CPD S.A. (XWAR:CPD); 2,40  $ ;
;iSh Core Cdn ShTrm Bd Idx ETF (NEOE:XSB); 26,91  $ ;
;BMO S&P/TSX Cap Comp Idx ETF (NEOE:ZCN); 34,37  $ ;
;FTSE Dev AC x NA ETF (NEOE:VIU); 36,87  $ ;
;iShares Core Bal ETF Portfolio (NEOE:XBAL); 30,92  $ ;
